tag_name,tag_id
to-read,0
favourites,1
owned,2
fiction,3
adult,4
novel,5
contemporary,6
series,7
adult-fiction,8
fantasy,9
romance,10
mystery,11
adventure,12
young-adult,13
english,14
drama,15
literature,16
classic,17
history,18
thriller,19
science-fiction,20
american,21
suspense,22
action,23
funny,24
family,25
non-fiction,26
crime,27
chick-lit,28
20th-century,29
paranormal,30
school,31
magic,32
teen,33
supernatural,34
realistic,35
literary-fiction,36
love,37
urban-fantasy,38
childhood,39
children,40
literary,41
horror,42
british,43
coming-of-age,44
science,45
friendship,46
biography,47
speculative-fiction,48
contemporary-romance,49
high-school,50
women,51
philosophy,52
war,53
juvenile,54
first-in-series,55
detective,56
female-author,57
relationships,58
memoir,59
religion,60
murder,61
dark,62
psychology,63
europe,64
politics,65
high-fantasy,66
dystopian,67
21st-century,68
dystopia,69
short-stories,70
inspirational,71
juvenile-fiction,72
college,73
autobiography,74
vampires,75
epic-fantasy,76
new-adult,77
death,78
alpha-male,79
self-help,80
animals,81
mythology,82
erotica,83
adult-romance,84
tear-jerker,85
graphic-novel,86
19th-century,87
spiritual,88
comic,89
political,90
survival,91
travel,92
military,93
historical-fiction,94
autobiograhy,95
magical-realism,96
movie,97
cultural,98
art,99
love-triangle,100
witches,101
self-improvement,102
trilogy,103
abuse,104
post-apocalyptic,105
sociology,106
poetry,107
business,108
feminism,109
translation,110
demons,111
christian,112
satire,113
short-story,114
espionage,115
ghosts,116
fluff,117
dark-fantasy,118
roman,119
lgbt,120
manga,121
historical-romance,122
education,123
asia,124
gothic,125
space,126
award-winner,127
werewolves,128
faith,129
futuristic,130
mental-health,131
fairy-tale,132
apocalyptic,133
mental-illness,134
medieval,135
picture,136
leadership,137
health,138
time-travel,139
aliens,140
dragons,141
police,142
smut,143
male-author,144
